marker	imgtAlignFile
A_E2	A_nuc.msf
A_E3	A_nuc.msf
B_E2	B_nuc.msf
B_E3	B_nuc.msf
DPA1_E2	DPA1_nuc.msf
DQA1_E2	DQA1_nuc.msf


